[IDTYPE	LOCATOR	NAME	SUBSYSTEM	CONFIDENCE	OFFICIALSAVEIDTYPE	STORAGETYPE	HASHCATEGORY	INTERNALPREFIX	NOTE	RECOMMENDEDTEST]
// Section display metadata overlay for Granblue Fantasy: Relink - Save Tool.
// Edit this file to update names without changing the structural CSV, character map, or hash database.
// IDTYPE accepts hexadecimal (0x####) or decimal. NA means no value.
0x1005	FF05100000	Weapon Reference Triplet 1	Weapons	Tentative	NA	UInt	NA	NA	Three UInt values; current values are the removed/empty weapon hash. Sequential SaveIDTypes 4101-4107. Categories: Weapons (3); Examples: --Removed (Used for Empty Slots)	Equip different weapons/skins in each party slot and compare all seven triplets.
0x1006	FF06100000	Weapon Reference Triplet 2	Weapons	Tentative	NA	UInt	NA	NA	Three UInt values; current values are the removed/empty weapon hash. Sequential SaveIDTypes 4101-4107. Categories: Weapons (3); Examples: --Removed (Used for Empty Slots)	Equip different weapons/skins in each party slot and compare all seven triplets.
0x1007	FF07100000	Weapon Reference Triplet 3	Weapons	Tentative	NA	UInt	NA	NA	Three UInt values; current values are the removed/empty weapon hash. Sequential SaveIDTypes 4101-4107. Some kind of ID slot Categories: Weapons (3); Examples: --Removed (Used for Empty Slots)	Equip different weapons/skins in each party slot and compare all seven triplets.
0x1008	FF08100000	Weapon Reference Triplet 4	Weapons	Tentative	NA	UInt	NA	NA	Three UInt values; current values are the removed/empty weapon hash. Sequential SaveIDTypes 4101-4107. Categories: Weapons (3); Examples: --Removed (Used for Empty Slots)	Equip different weapons/skins in each party slot and compare all seven triplets.
0x1009	FF09100000	Weapon Reference Triplet 5	Weapons	Tentative	NA	UInt	NA	NA	Three UInt values; current values are the removed/empty weapon hash. Sequential SaveIDTypes 4101-4107. Categories: Weapons (3); Examples: --Removed (Used for Empty Slots)	Equip different weapons/skins in each party slot and compare all seven triplets.
0x100A	FF0A100000	Weapon Reference Triplet 6	Weapons	Tentative	NA	UInt	NA	NA	Three UInt values; current values are the removed/empty weapon hash. Sequential SaveIDTypes 4101-4107. Categories: Weapons (3); Examples: --Removed (Used for Empty Slots)	Equip different weapons/skins in each party slot and compare all seven triplets.
0x100B	FF0B100000	Weapon Reference Triplet 7	Weapons	Tentative	NA	UInt	NA	NA	Three UInt values; current values are the removed/empty weapon hash. Sequential SaveIDTypes 4101-4107. Categories: Weapons (3); Examples: --Removed (Used for Empty Slots)	Equip different weapons/skins in each party slot and compare all seven triplets.
0x070D	FF0D070000	Item Data Global Field 1805	Items	Unknown	ITEMDATA_1805	UInt	NA	NA	Official enum name ITEMDATA_1805; single UInt value.	Change item inventory/order and compare.
0x070E	FF0E070000	Item Data Global Field 1806	Items	Unknown	ITEMDATA_1806	UInt	NA	NA	Official enum name ITEMDATA_1806; single UInt value.	Change item inventory/order and compare.
0x1C22	FF221C0000	Global Null/Reset Flag 7202	Global State	Tentative	NA	UInt	NA	NA	Single UInt currently zero; no official enum name. Categories: Special numeric value (1); Examples: Zero / null	Compare before/after save creation and major story milestones.
0x1C24	FF241C0000	Saved Calendar Date	Global State	Strong	NA	UInt	NA	NA	Current bytes 0F 07 EA 07 naturally decode as day 15, month 7, year 2026.	Save on another date and confirm day/month/year packing.
0x1A2D	FF2D1A0000	Grouped Progression State Matrix	Progression	Strong	NA	UInt	NA	NA	256 UInt entries with repeated group/index/state pattern and 32 trailing zeros. Categories: Special numeric value (32); Examples: Zero / null	Toggle one completion/unlock at a time and diff the changed matrix position.
0x0450	FF50040000	Rupies	Currencies	Confirmed	USERDATA_RUPIES	Int	NA	NA	Official SaveIDType USERDATA_RUPIES. Rupies	NA
0x0451	FF51040000	Transmarvel Currency / Count	Currencies	Strong	USERDATA_1105	Int	NA	NA	Section note identifies Transmarvel; official enum USERDATA_1105. Transmarvel	Spend/earn one Transmarvel and verify delta.
0x0452	FF52040000	Commendations	Currencies	Confirmed	USERDATA_COMMENDATIONS	Int	NA	NA	Official SaveIDType USERDATA_COMMENDATIONS.	NA
0x0455	FF55040000	User Counter 1109	User Data	Unknown	USERDATA_1109	Int	NA	NA	Official enum USERDATA_1109; observed to count upward. Counts Up	Perform one likely counted activity at a time.
0x0B55	FF550B0000	Reward Definition ID List	Rewards	Confirmed	NA	UInt	Reward Definitions	RW_	512 UInt values; 292 resolve to RW_* reward-definition IDs. Categories: Weapons (220); Internal prefixes: RW_* (292); Examples: --Removed (Used for Empty Slots)	NA
0x0456	FF56040000	User Counter 1110	User Data	Unknown	USERDATA_1110	Int	NA	NA	Official enum USERDATA_1110; observed to count upward. Counts up ?	Perform one likely counted activity at a time.
0x0457	FF57040000	User Value 1111	User Data	Unknown	USERDATA_1111	Int	NA	NA	Official enum USERDATA_1111; single Int.	Compare fresh, cleared-story, and postgame saves.
0x0458	FF58040000	Mastery Points (MSP)	Currencies	Confirmed	USERDATA_MASTERY_POINTS	Int	NA	NA	Official SaveIDType USERDATA_MASTERY_POINTS. Mastery Points (MSP)	NA
0x0A31	FF310A0000	Conflux Points (CP)	Currencies	Confirmed	NA	UInt	NA	NA	DLC special-currency balance for item hash 68EADAA9 / ITEM_35_2000. The item row identifies the currency; this section stores the spendable amount.	NA
